,position,specialization
0,системный аналитик на интеграционные проекты по работе с web / mobile приложениями,0
1,тестировщик по автоматизированному тестированию (qa automation engineer),1
2,администратор windows систем,0
3,программист отдела поддержки прикладных систем,0
4,инженер по нагрузочному тестированию и тестированию производительности,2
5,администратор linux,0
6,ведущий специалист орэ,3
7,ведущий специалист отдела финансового контроля,4
8,специалист по устойчивому развитию (esg в ir),5
9,специалист по налогам,4
10,quality assurance internship,6
11,sales internship in southern russia,7
12,supply chain management internship,5
13,finance internship,4
14,marketing internship,6
15,системный аналитик/интерн,0
16,"intern / junior consultant, international tax, tax&legal",5
17,"consultant / senior consultant, technology, information risk management.",0
18,"стажер/консультант в группу по оказанию услуг в области корпоративного управления, управления рисками",5
19,corporate finance associate,4
20,business development / sales enablement associate,8
21,администратор sap,0
22,кредитный инспектор / руководитель направления кредитования в управление финансирования недвижимости,4
23,"team lead data scientist (recsys, nlp, cv)",0
24,qa engineer (тестировщик) 1c,2
25,томи тест,0
26,data scientist,9
27,бизнес-аналитик,3
28,java developer,0
29,data engineer (удаленно),0
30,manifactuting internship,10
31,стажер в департаменте аудиторских услуг,11
32,системный аналитик / интерн,3
33,intern / analyst strategy,3
34,junior engineer,2
35,hr-trainee / hr-стажер,12
36,sales internship - eastern siberia,7
37,sales internship - eastern siberia,7
38,sales internship - eastern siberia,7
39,sales internship - eastern siberia,7
40,sales account manager (far east),7
41,sales account manager (far east),7
42,sales internship (far east),7
43,sales internship (far east),7
44,brand manager,6
45,system analyst,0
46,1с разработчик,0
47,"стажер, группа по консультированию в сфере it (it-аудит)",0
48,аналитик по связям с инвесторами,3
49,специалист команды трансформации sbercib,8
50,стажировка в отделе продаж,7
51,стажер в юридический отдел,4
52,data engineering стажировка,0
53,стажировка в отделе маркетинга,6
54,стажировка в отделе логистики,5
55,стажировка в отделе финансов,4
56,innovation specialist,3
57,стажировка в rambler group,3
58,стажировка в rambler group,6
59,администратор баз данных,0
60,стажер/младший консультант группы консультационных услуг в области учета и отчетности,11
61,senior business analyst,3
62,business analyst,3
63,data scientist / senior data scientist / lead data scientist,3
64,intern data scientist,0
65,intern data scientist,0
66,стажер в отдел склада готовой продукции,5
67,стажер в отдел склада готовой продукции,5
68,key account sales analyst,3
69,supply service representative (специалист по логистике),5
70,практикант направления оценки и развития талантов,3
71,стажер в команду по развитию бренда работодателя,12
72,аналитик/старший аналитик,3
73,cтажер бизнес-аналитик (проектная работа),8
74,graphic designer / smm,13
75,видео-продюсер,13
76,видео-продюсер,14
77,стажировка в rambler group,3
78,стажировка в rambler group,6
79,стажер-менеджер проектов в 5g,5
80,стажер-менеджер проектов в 5g,5
81,стажер в финансах,4
82,интерн/консультант в команде экономического анализа и оценки бизнеса,4
83,менеджер по работе с ключевыми конечными клиентами,5
84,менеджер по работе с ключевыми конечными клиентами,7
85,"стажер danone dive, it sap",0
86,"стажер danone dive, it sap",0
87,стажировка supply discovery trainee,10
88,стажировка в отделе продаж,7
89,менеджер по работе с клиентами,7
90,стажер в отдел информационной безопасности,0
91,стажер в инжиниринге,10
92,trainee (sales),7
93,trade marketing specialist (beauty care professional),6
94,assistant to legal department,3
95,junior web developer,0
96,intern in real estate advisory (valuation and сonsulting),4
97,intern/junior consultant in financial services advisory (consulting),11
98,intern in market research,6
99,assortment management trainee (laundry & home care),5
100,assortment management trainee (laundry & home care),6
101,category management trainee (laundry & home care),5
102,category management trainee (laundry & home care),6
103,finance automation intern,4
104,finance automation intern,3
105,receptionist,5
106,brand coordinator (beauty care),6
107,brand coordinator (beauty care professional),6
108,brand coordinator (beauty care),5
