,position,skills,position_lower
0,Системный аналитик на интеграционные проекты по работе с WEB / mobile приложениями,участие проект качество бизнессистемный аналитика; сбор формализация описание требование разрабатывать программный обеспечение бизнес требование заказчик системный интеграционный требование; согласование бизнес процесс алгоритм бизнес заказчик системный архитектор; подготовка технический задание постановка задача разработчик; координация оказание информационный поддержка работа команда разработчик; организация процесс приемка заказчик консультация обучение пользователь; контроль процесс внедрение задача требование; опыт работа аналогичный должность 2 год; аналитический склад ум; наличие технический образование желательно исключительный случай экономический образование наличие опыт аналогичный позиция знание; желательно опыт работа рекомендательный система,системный аналитик на интеграционные проекты по работе с web / mobile приложениями
1,Тестировщик по автоматизированному тестированию (QA Automation Engineer),разработка автотест разрабатывать фича; локализация проблема документирование; анализ результат прогон тест анализ тестовый покрытие; разработка инфраструктура автотестирование; интеграция тестовый инфраструктура ci; взаимодействие разработчикамианалитикамитестировщик требование; опыт автоматизация тестирование веб api мобильный приложение android ios 2 х год; знание технология appium cucumber; опыт работа git ci система; опыт работа реляционный бд уверенный владение sql,тестировщик по автоматизированному тестированию (qa automation engineer)
2,Администратор Windows систем,администрирование сервис ms active directory gpo dfs wsus exchange 2016; администрирование система хранение данные hitachi dell emc; администрирование vmware vsphere microsoft hyperv; администрирование система мониторинг zabbix; администрирование система резервный копирование veritas backupexec commvault; работа серверный оборудование территория цод требование; опыт администрирование windows 5 год; опыт администрирование сервис ms active directory; опыт администрирование vmware vsphere либо другой система виртуализация; готовность работа офис; 90 посещение цод станция метро южный семеновский дубровка 10 рабочий время,администратор windows систем
3,Программист Отдела поддержки прикладных систем,поддержка администрирование прикладной система разработать приобрести внешний вендор 15 система; решение запрос инцидент прикладной система система учет задача jira; написание sql код чтение чужое код; участие внедрение; автоматизация внутренний задача требование; знание язык t sql; умение читать чужой код; технический образование,программист отдела поддержки прикладных систем
4,Инженер по нагрузочному тестированию и тестированию производительности,анализ требование; разработка методика нагрузочный тестирование; разработка скрипт нагрузочный тестирование; разработка эмулятор заглушка; проведение нагрузочный испытание; анализ результат нагрузочный тестирование; развитие фреймворк нагрузочный тестирование требование; опыт работа аналогичный должность 2 год; знание методология нагрузочный тестирование; опыт разработка скрипт работа фреймворк jmeter gatling load runner тд; опыт работа реляционный бд владение sql; запрос,инженер по нагрузочному тестированию и тестированию производительности
5,Администратор Linux,поддержка работоспособность сервер ос linux centos —установка настройка базовый ос —установка настройка дополнительный web сервер субд апликейсить сервер тд; мониторинг zabbix; постановка мониторинг ос; написание скрипт темплейт требование; знание язык python; знание elk; начальный навык понимание принцип работа cicd,администратор linux
6,Ведущий специалист ОРЭ,подготовка предложение изменение существующий правило регламент орэм ррэ; мониторинг изменение законодательство проект нпа сфера электроэнергетика функционирование орэм; анализ расчет финансовый последствие компания случай реализация изменение правило орэм ррэ; участие процедура управление спрос конкурентный отбор мощность требование; высокий технический экономический профильный направление; электроэнергетика мэи мая мвт игэу; опыт работа энергетический отрасль менее три год приветствоваться опыт работа сфера коммерческий учет составление балансовый электроэнергия; знание основный принцип работа оптовый розничный рынок электроэнергия; владение microsoft office word excel powerpoint visio project,ведущий специалист орэ
7,Ведущий специалист отдела финансового контроля,контроль исполнение бдр цфо; факторный анализ исполнение бдр цфо месяц квартал год; анализ договор; формирование оперативный прогноз бдр требование; высокий экономический финансовый образование; знание основа бухгалтерский учет экономический теория; опыт работа система sap преимущество; умение анализировать больший объем информация проводить факторный анализ; продвинуть пользователь пк ms word ms excel сводный таблица формула массив логический формула,ведущий специалист отдела финансового контроля
8,Специалист по устойчивому развитию (ESG в IR),участие разработка внедрение система раскрытие информация esg инвестор; осуществление периодический запрос информация подразделение подготовка раскрытие раскрытие; подготовка нефинансовый отчетность область устойчивый развитие; разработка составление презентационный материал; инициация ведение процедура присвоение рейтинг компания область устойчивый развитие международный рейтинговый агентство; взаимодействие инвестиционный фонд биржа другой заинтересованный сторона требование; высокий образование область финансы экономика управление маркетинг; английский язык ниже уровень intermediate; владение пк; уверенный пользователь excel power point база данные; опыт работа 1 год консалтинг финансы стратегия направление работа инвестор; эффективный структурирование различный документ внешний аудитория соответствие критерий международный методика; умение систематизировать анализировать массив данные создание инфографический материал основа; понимание требование esg инвестор информация компания эмитент; понимание процесс рейтингование способность организовать работа участник процесс внутри компания; сильный коммуникативный презентационный навык грамотный речь общий кругозор; желание построить карьера ir esg,специалист по устойчивому развитию (esg в ir)
9,Специалист по налогам,налоговый учет; сопровождение мероприятие налоговый контроль; налоговый планирование бюджетирование требование; высокий профильный образование предпочтительно финакадемия университет правительство рф рэа плеханов вгна мэси обучение последний курс университет; опыт работа аудит консалтинг 1 2 год налоговый отдел крупный компания бухгалтер; знание налоговый гражданский законодательство нормативный база бухгалтерский учет; пк; уверенный пользователь консультант плюс гарант excel; компетенция активный жизненный позиция высокий уровень ответственность внимательность стремление профессиональный рост развитие,специалист по налогам
