Название,Компания,Профессия
Системный аналитик на интеграционные проекты по работе с WEB / mobile приложениями,Открытие Инвестиции [371858],it
Тестировщик по автоматизированному тестированию (QA Automation Engineer),Открытие Инвестиции [371858],тестирование
Администратор Windows систем,Открытие Инвестиции [371858],it
Программист Отдела поддержки прикладных систем,Открытие Инвестиции [371858],it
Инженер по нагрузочному тестированию и тестированию производительности,Открытие Инвестиции [371858],исследования
Администратор Linux,Открытие Инвестиции [371858],it
Ведущий специалист ОРЭ,Мосэнерго [379697],аналитика
Ведущий специалист отдела финансового контроля,Мосэнерго [379697],финансы
Специалист по устойчивому развитию (ESG в IR),Мосэнерго [379697],менеджмент
Специалист по налогам,Мосэнерго [379697],финансы
Quality Assurance Internship,Procter & Gamble [40],маркетинг
Sales Internship in Southern Russia,Procter & Gamble [40],продажи
Supply Chain Management Internship,Procter & Gamble [40],менеджмент
Finance Internship,Procter & Gamble [40],финансы
Marketing Internship,Procter & Gamble [40],маркетинг
Системный аналитик/интерн,Accenture Москва [133996],it
"Intern / Junior Consultant, International Tax, Tax&Legal",KPMG [63],менеджмент
"Consultant / Senior Consultant, Technology, Information Risk Management.",KPMG [63],it
"Стажер/Консультант в группу по оказанию услуг в области корпоративного управления, управления рисками",KPMG [63],менеджмент
Corporate finance associate,Kodland [377056],финансы
Business Development / Sales Enablement Associate,Tomi.ai [366210],бизнес-аналитика
Администратор SAP,Сбер [28],it
Кредитный инспектор / Руководитель направления кредитования в Управление финансирования недвижимости,Сбер [28],финансы
"Team Lead Data Scientist (RecSys, NLP, CV)",Сбер [28],it
QA engineer (тестировщик) 1C,Билайн [277],исследования
Томи Тест,Tomi.ai [366210],it
Data Scientist,Билайн [277],data science
Бизнес-аналитик,Билайн [277],аналитика
Java Developer,Билайн [277],it
Data engineer (удаленно),Билайн [277],it
Manifactuting Internship,Procter & Gamble [40],разработка
Стажер в департаменте аудиторских услуг,EY [60],аудит
Системный аналитик / интерн,Accenture Москва [133996],аналитика
Intern / Analyst Strategy,Accenture Москва [133996],аналитика
Junior Engineer,Henkel [207907],исследования
HR-Trainee / HR-Стажер,Perfetti Van Melle [1750],hr
SALES INTERNSHIP - EASTERN SIBERIA,Procter & Gamble [40],продажи
SALES INTERNSHIP - EASTERN SIBERIA,Procter & Gamble [40],продажи
SALES INTERNSHIP - EASTERN SIBERIA,Procter & Gamble [40],продажи
SALES INTERNSHIP - EASTERN SIBERIA,Procter & Gamble [40],продажи
Sales account manager (far East),Procter & Gamble [40],продажи
Sales account manager (far East),Procter & Gamble [40],продажи
Sales internship (far East),Procter & Gamble [40],продажи
Sales internship (far East),Procter & Gamble [40],продажи
Brand Manager,Procter & Gamble [40],маркетинг
System Analyst,KPMG [63],it
1С разработчик,KPMG [63],it
"Стажер, Группа по консультированию в сфере IT (IT-Аудит)",KPMG [63],it
Аналитик по связям с инвесторами,НЛМК [179044],аналитика
Специалист команды трансформации SberCIB,Сбер [28],бизнес-аналитика
Стажировка в отделе продаж,Procter & Gamble [40],продажи
Стажер в юридический отдел,МТС [425],финансы
Data Engineering стажировка,Procter & Gamble [40],it
Стажировка в отделе маркетинга,Procter & Gamble [40],маркетинг
Стажировка в отделе логистики,Procter & Gamble [40],менеджмент
Стажировка в отделе финансов,Procter & Gamble [40],финансы
Innovation specialist,Ferrero [174977],аналитика
Стажировка в Rambler Group,Сбер [28],аналитика / маркетинг
Администратор баз данных,KPMG [63],it
Стажер/Младший консультант группы консультационных услуг в области учета и отчетности,KPMG [63],аудит
Senior Business Analyst,McKinsey [339552],аналитика
Business Analyst,McKinsey [339552],аналитика
Data Scientist / Senior Data Scientist / Lead Data Scientist,McKinsey [339552],аналитика
Intern Data Scientist,McKinsey [339552],it
Intern Data Scientist,McKinsey [339552],it
Стажер в отдел склада готовой продукции,Essity [144807],менеджмент
Стажер в отдел склада готовой продукции,Essity [144807],менеджмент
Key account sales analyst,Ferrero [174977],аналитика
Supply service representative (специалист по логистике),Essity [144807],менеджмент
Практикант направления оценки и развития талантов,Самолет [346676],аналитика
Стажер в команду по развитию бренда работодателя,Северсталь [20],hr
Аналитик/старший аналитик,Корпорации развития Дальнего Востока и Арктики [353819],аналитика
Cтажер бизнес-аналитик (проектная работа),Ozon [327],бизнес-аналитика
Graphic Designer / SMM,Changellenge >> [43],контент
Видео-продюсер,Changellenge >> [43],контент / дизайн
Стажировка в Rambler Group,Сбер [28],аналитика / маркетинг
Стажер-менеджер проектов в 5G,МТС [425],менеджмент
Стажер-менеджер проектов в 5G,МТС [425],менеджмент
Стажер в финансах,Aggreko [47986],финансы
Интерн/Консультант в команде экономического анализа и оценки бизнеса,PwC [27],финансы
Менеджер по работе с ключевыми конечными клиентами,Essity [144807],менеджмент / продажи
"Стажер Danone Dive, IT SAP",Danone [336],it
"Стажер Danone Dive, IT SAP",Danone [336],it
Стажировка Supply Discovery Trainee,AB InBev Efes [179258],разработка
Стажировка в отделе продаж,Procter & Gamble [40],продажи
Менеджер по работе с клиентами,Procter & Gamble [40],продажи
Стажер в отдел информационной безопасности,МТС [425],it
Стажер в инжиниринге,Procter & Gamble [40],разработка
Trainee (Sales),Henkel [207907],продажи
Trade Marketing Specialist (Beauty Care Professional),Henkel [207907],маркетинг
Assistant to Legal Department,Henkel [207907],аналитика
Junior Web Developer,Schlumberger [773],it
Intern in Real Estate Advisory (Valuation and Сonsulting),KPMG [63],финансы
Intern/Junior Consultant in Financial Services Advisory (Consulting),KPMG [63],аудит
Intern in Market Research,KPMG [63],маркетинг
Assortment Management Trainee (Laundry & Home Care),Henkel [207907],менеджмент / маркетинг
Category Management Trainee (Laundry & Home Care),Henkel [207907],менеджмент / маркетинг
Finance Automation Intern,Henkel [207907],финансы / аналитика
Receptionist,Henkel [207907],менеджмент
Brand Coordinator (Beauty Care),Henkel [207907],маркетинг
Brand Coordinator (Beauty care professional),Henkel [207907],маркетинг
Brand Coordinator (Beauty Care),Henkel [207907],менеджмент
Business Operation Specialist,Henkel [207907],менеджмент
KAM - Assistant,Henkel [207907],менеджмент
KEY ACCOUNT SALES ANALYST,Ferrero [174977],аналитика
Marketing Controlling Intern (Finance Department),Henkel [207907],финансы / маркетинг
Marketing Controlling Intern (Finance Department),Henkel [207907],финансы / маркетинг
Senior creator,Changellenge >> [43],контент
Selection analyst,Changellenge >> [43],аналитика
PPT Slide Maker Specialist / Дизайнер презентаций,Changellenge >> [43],дизайн
Graduate Recruitment Leader,Changellenge >> [43],hr
Junior Recruiter / Sourcer,Changellenge >> [43],hr
Специалист по документообороту,Changellenge >> [43],финансы
Content Manager / Copywriter,Changellenge >> [43],финансы
Creator,Changellenge >> [43],финансы
Бизнес аналитик,Changellenge >> [43],финансы
Senior Employer Brand Strategist,Changellenge >> [43],менеджмент
Researcher,Changellenge >> [43],аналитика
Project Team Leader,Changellenge >> [43],финансы
